date,ticker,exchange,sector,industry,currency,open,high,low,close,adj_close,previous_close,volume,turnover,market_cap,shares_outstanding,pe_ratio,eps,dividend_per_share,dividend_yield,dividend_ex_date,split_ratio,52w_high,52w_low,50d_ma,200d_ma,avg_true_range,volatility_30d,beta_to_index,returns_daily,returns_5d,returns_20d,gap_open,day_of_week,month,quarter,is_month_end,is_quarter_end
2024-01-22,AAPL,NASDAQ,Technology,Consumer Electronics,USD,198.00,199.60,197.90,199.20,199.20,198.20,45500000,9063600000,3025000000000,15190000000,30.9,6.45,0.24,0.0047,2024-02-09,1.0,199.62,124.17,189.60,175.90,2.05,0.230,1.04,0.0051,0.0071,0.0281,0.0010,Monday,1,1,0,0
2024-01-23,AAPL,NASDAQ,Technology,Consumer Electronics,USD,199.40,200.50,198.50,199.80,199.80,199.20,49860000,9963084000,3032000000000,15190000000,31.0,6.44,0.24,0.0047,2024-02-09,1.0,199.62,124.17,190.10,176.30,2.10,0.231,1.04,0.0030,0.0047,0.0241,0.0010,Tuesday,1,1,0,0
2024-01-24,AAPL,NASDAQ,Technology,Consumer Electronics,USD,200.10,201.60,199.90,201.10,201.10,199.80,52220000,10501142000,3050000000000,15190000000,31.2,6.44,0.24,0.0047,2024-02-09,1.0,199.62,124.17,190.60,176.70,2.15,0.233,1.03,0.0065,0.0041,0.0226,0.0015,Wednesday,1,1,0,0
2024-01-25,AAPL,NASDAQ,Technology,Consumer Electronics,USD,201.40,202.20,200.50,201.00,201.00,201.10,54430000,10947643000,3048000000000,15190000000,31.2,6.44,0.24,0.0047,2024-02-09,1.0,199.62,124.17,191.00,177.10,2.05,0.234,1.03,-0.0005,0.0019,0.0177,-0.0020,Thursday,1,1,0,0
2024-01-26,AAPL,NASDAQ,Technology,Consumer Electronics,USD,200.80,202.50,200.70,202.40,202.40,201.00,57890000,11700736000,3062000000000,15190000000,31.4,6.44,0.24,0.0046,2024-02-09,1.0,199.62,124.17,191.40,177.50,2.20,0.235,1.03,0.0069,0.0049,0.0180,0.0019,Friday,1,1,0,0
2024-01-29,AAPL,NASDAQ,Technology,Consumer Electronics,USD,202.90,203.80,201.60,203.10,203.10,202.40,46200000,937,3070000000000,15130000000,31.5,6.44,0.24,0.0046,2024-02-09,1.0,199.62,124.17,191.90,177.90,2.10,0.236,1.02,0.0035,0.0054,0.0160,0.0025,Monday,1,1,0,0
2024-01-30,AAPL,NASDAQ,Technology,Consumer Electronics,USD,203.40,204.20,202.80,203.90,203.90,203.10,48560000,989,3078000000000,15130000000,31.6,6.44,0.24,0.0046,2024-02-09,1.0,199.62,124.17,192.40,178.30,2.05,0.237,1.02,0.0039,0.0071,0.0158,0.0015,Tuesday,1,1,0,0
2024-01-31,AAPL,NASDAQ,Technology,Consumer Electronics,USD,204.00,205.60,203.50,205.10,205.10,203.90,60230000,1235,3092000000000,15130000000,31.8,6.45,0.24,0.0045,2024-02-09,1.0,199.62,124.17,193.10,178.80,2.30,0.238,1.02,0.0059,0.0107,0.0184,0.0039,Wednesday,1,1,1,1
2024-02-01,AAPL,NASDAQ,Technology,Consumer Electronics,USD,205.50,207.00,205.10,206.80,206.80,205.10,68810000,1423,3110000000000,15130000000,32.0,6.46,0.24,0.0045,2024-02-09,1.0,207.90,130.12,193.80,179.30,2.40,0.240,1.01,0.0083,0.0124,0.0209,0.0039,Thursday,2,1,0,0
2024-02-02,AAPL,NASDAQ,Technology,Consumer Electronics,USD,207.10,208.40,206.40,208.00,208.00,206.80,70240000,1461,3128000000000,15130000000,32.3,6.44,0.24,0.0045,2024-02-09,1.0,207.90,130.12,194.60,179.80,2.35,0.241,1.01,0.0058,0.0131,0.0232,0.0048,Friday,2,1,0,0
2024-02-05,AAPL,NASDAQ,Technology,Consumer Electronics,USD,208.20,209.10,207.00,207.40,207.40,208.00,53480000,1109,3120000000000,15090000000,32.1,6.46,0.24,0.0045,2024-02-09,1.0,207.90,130.12,195.10,180.20,2.25,0.242,1.01,-0.0029,0.0082,0.0194,-0.0029,Monday,2,1,0,0
2024-02-06,AAPL,NASDAQ,Technology,Consumer Electronics,USD,207.20,208.80,206.90,208.30,208.30,207.40,49880000,1038,3130000000000,15090000000,32.3,6.45,0.24,0.0045,2024-02-09,1.0,207.90,130.12,195.60,180.60,2.20,0.243,1.00,0.0043,0.0087,0.0173,0.0014,Tuesday,2,1,0,0
2024-02-07,AAPL,NASDAQ,Technology,Consumer Electronics,USD,208.70,210.20,208.10,209.90,209.90,208.30,52230000,1096,3145000000000,15090000000,32.6,6.43,0.24,0.0044,2024-02-09,1.0,207.90,130.12,196.20,181.00,2.30,0.244,1.00,0.0077,0.0106,0.0186,0.0019,Wednesday,2,1,0,0
2024-02-08,AAPL,NASDAQ,Technology,Consumer Electronics,USD,210.10,211.30,209.40,210.50,210.50,209.90,54890000,1154,3152000000000,15090000000,32.7,6.44,0.24,0.0044,2024-02-09,1.0,207.90,130.12,196.80,181.50,2.15,0.245,1.00,0.0029,0.0087,0.0176,0.0009,Thursday,2,1,0,0
2024-02-09,AAPL,NASDAQ,Technology,Consumer Electronics,USD,210.40,211.90,210.00,211.20,210.96,210.50,68230000,1439,3163000000000,15090000000,32.8,6.44,0.24,0.0044,2024-02-09,1.0,207.90,130.12,197.30,181.90,2.20,0.246,0.99,0.0033,0.0103,0.0182,-0.0005,Friday,2,1,0,0
2024-02-12,AAPL,NASDAQ,Technology,Consumer Electronics,USD,210.80,212.40,210.10,211.80,211.56,210.96,53460000,1132,3170000000000,15080000000,32.9,6.44,0.24,0.0044,2024-02-09,1.0,207.90,130.12,197.80,182.30,2.25,0.247,0.99,0.0028,0.0082,0.0163,0.0014,Monday,2,1,0,0
2024-02-13,AAPL,NASDAQ,Technology,Consumer Electronics,USD,211.90,212.80,210.90,212.10,211.86,211.80,50220000,1065,3173000000000,15080000000,32.9,6.44,0.24,0.0044,2024-02-09,1.0,207.90,130.12,198.30,182.70,2.10,0.248,0.99,0.0014,0.0054,0.0138,0.0009,Tuesday,2,1,0,0
2024-02-14,AAPL,NASDAQ,Technology,Consumer Electronics,USD,212.40,213.70,211.80,213.20,212.95,212.10,54880000,1169,3187000000000,15080000000,33.1,6.43,0.24,0.0043,2024-02-09,1.0,207.90,130.12,198.80,183.10,2.20,0.249,0.98,0.0052,0.0068,0.0131,0.0014,Wednesday,2,1,0,0
2024-02-15,AAPL,NASDAQ,Technology,Consumer Electronics,USD,213.60,214.80,213.00,214.10,213.85,213.20,56240000,1204,3198000000000,15080000000,33.3,6.43,0.24,0.0043,2024-02-09,1.0,207.90,130.12,199.30,183.50,2.15,0.250,0.98,0.0042,0.0076,0.0147,0.0009,Thursday,2,1,0,0
2024-02-16,AAPL,NASDAQ,Technology,Consumer Electronics,USD,214.20,215.40,213.70,215.00,214.74,214.10,60510000,1301,3210000000000,15080000000,33.5,6.40,0.24,0.0043,2024-02-09,1.0,207.90,130.12,199.80,183.90,2.25,0.251,0.98,0.0042,0.0086,0.0169,0.0009,Friday,2,1,0,0
2024-02-20,AAPL,NASDAQ,Technology,Consumer Electronics,USD,214.80,216.30,214.20,216.00,215.73,215.00,58230000,1259,3223000000000,15020000000,33.6,6.43,0.24,0.0043,2024-02-09,1.0,207.90,130.12,200.40,184.30,2.30,0.252,0.97,0.0047,0.0108,0.0181,0.0010,Tuesday,2,1,0,0
2024-02-21,AAPL,NASDAQ,Technology,Consumer Electronics,USD,216.20,217.10,215.20,216.40,216.13,216.00,54840000,1186,3228000000000,15020000000,33.7,6.42,0.24,0.0043,2024-02-09,1.0,207.90,130.12,200.90,184.70,2.10,0.253,0.97,0.0019,0.0090,0.0173,0.0009,Wednesday,2,1,0,0
2024-02-22,AAPL,NASDAQ,Technology,Consumer Electronics,USD,216.50,217.80,216.10,217.20,216.92,216.40,57210000,1242,3238000000000,15020000000,33.8,6.42,0.24,0.0042,2024-02-09,1.0,207.90,130.12,201.40,185.10,2.20,0.254,0.97,0.0037,0.0085,0.0160,0.0009,Thursday,2,1,0,0
2024-02-23,AAPL,NASDAQ,Technology,Consumer Electronics,USD,217.60,218.90,216.80,218.10,217.81,217.20,60120000,1310,3250000000000,15020000000,34.0,6.39,0.24,0.0042,2024-02-09,1.0,207.90,130.12,201.90,185.50,2.25,0.255,0.96,0.0041,0.0085,0.0165,0.0009,Friday,2,1,0,0
2024-02-26,AAPL,NASDAQ,Technology,Consumer Electronics,USD,218.40,219.30,217.50,218.90,218.61,218.10,53220000,1163,3260000000000,14980000000,34.1,6.40,0.24,0.0042,2024-02-09,1.0,207.90,130.12,202.40,185.90,2.10,0.256,0.96,0.0037,0.0089,0.0148,0.0014,Monday,2,1,0,0
2024-02-27,AAPL,NASDAQ,Technology,Consumer Electronics,USD,219.10,220.40,218.60,220.10,219.80,218.90,54560000,1201,3276000000000,14980000000,34.3,6.39,0.24,0.0042,2024-02-09,1.0,207.90,130.12,203.00,186.30,2.20,0.257,0.96,0.0055,0.0096,0.0154,0.0010,Tuesday,2,1,0,0
2024-02-28,AAPL,NASDAQ,Technology,Consumer Electronics,USD,220.20,221.50,219.80,221.00,220.70,220.10,58930000,1302,3288000000000,14980000000,34.5,6.40,0.24,0.0042,2024-02-09,1.0,207.90,130.12,203.60,186.70,2.25,0.258,0.95,0.0041,0.0108,0.0174,0.0009,Wednesday,2,1,0,0
2024-02-29,AAPL,NASDAQ,Technology,Consumer Electronics,USD,221.40,222.30,220.60,221.80,221.49,221.00,63480000,1406,3299000000000,14980000000,34.6,6.39,0.24,0.0041,2024-02-09,1.0,207.90,130.12,204.10,187.10,2.30,0.259,0.95,0.0036,0.0122,0.0183,0.0009,Thursday,2,1,1,0
2024-03-01,MSFT,NASDAQ,Technology,Software—Infrastructure,USD,409.20,413.80,408.50,412.60,412.60,407.90,37210000,153626,3070000000000,7440000000,36.8,11.21,0.68,0.0165,2024-02-14,1.0,420.45,274.10,395.30,356.70,4.50,0.230,1.05,0.0115,0.0210,0.0840,0.0115,Friday,3,1,0,0
2024-03-04,MSFT,NASDAQ,Technology,Software—Infrastructure,USD,413.00,415.20,411.60,414.80,414.80,412.60,34890000,144811,3085000000000,7440000000,37.0,11.21,0.68,0.0164,2024-02-14,1.0,420.45,274.10,395.80,357.10,4.30,0.229,1.04,0.0053,0.0188,0.0752,0.0010,Monday,3,1,0,0
2024-03-05,MSFT,NASDAQ,Technology,Software—Infrastructure,USD,415.10,417.60,413.80,416.50,416.50,414.80,36240000,151027,3100000000000,7440000000,37.1,11.23,0.68,0.0163,2024-02-14,1.0,420.45,274.10,396.40,357.50,4.40,0.228,1.04,0.0041,0.0156,0.0615,0.0017,Tuesday,3,1,0,0
2024-03-06,MSFT,NASDAQ,Technology,Software—Infrastructure,USD,416.90,419.00,415.70,418.20,418.20,416.50,37120000,155177,3115000000000,7440000000,37.3,11.21,0.68,0.0163,2024-02-14,1.0,420.45,274.10,397.10,357.90,4.35,0.227,1.04,0.0041,0.0148,0.0580,0.0010,Wednesday,3,1,0,0
2024-03-07,MSFT,NASDAQ,Technology,Software—Infrastructure,USD,418.50,421.40,417.80,420.90,420.90,418.20,38760000,163209,3138000000000,7440000000,37.6,11.19,0.68,0.0162,2024-02-14,1.0,420.45,274.10,397.70,358.30,4.60,0.229,1.03,0.0065,0.0162,0.0585,0.0015,Thursday,3,1,0,0
2024-03-08,MSFT,NASDAQ,Technology,Software—Infrastructure,USD,421.20,422.80,419.50,421.40,421.40,420.90,37980000,159899,3142000000000,7440000000,37.7,11.18,0.68,0.0161,2024-02-14,1.0,420.45,274.10,398.40,358.80,4.20,0.228,1.03,0.0012,0.0134,0.0470,0.0007,Friday,3,1,0,0
2024-03-11,MSFT,NASDAQ,Technology,Software—Infrastructure,USD,421.00,423.10,420.10,422.50,422.50,421.40,34120000,144002,3150000000000,7440000000,37.8,11.18,0.68,0.0161,2024-02-14,1.0,420.45,274.10,399.00,359.20,4.10,0.227,1.03,0.0026,0.0122,0.0440,0.0009,Monday,3,1,0,0
2024-03-12,MSFT,NASDAQ,Technology,Software—Infrastructure,USD,422.80,424.50,421.90,423.70,423.70,422.50,35670000,151026,3160000000000,7440000000,37.9,11.19,0.68,0.0161,2024-02-14,1.0,420.45,274.10,399.60,359.60,4.20,0.226,1.02,0.0028,0.0134,0.0450,0.0009,Tuesday,3,1,0,0
2024-03-13,MSFT,NASDAQ,Technology,Software—Infrastructure,USD,424.10,426.00,423.00,425.40,425.40,423.70,38790000,164906,3178000000000,7440000000,38.1,11.17,0.68,0.0160,2024-02-14,1.0,420.45,274.10,400.20,360.00,4.30,0.227,1.02,0.0040,0.0138,0.0465,0.0014,Wednesday,3,1,0,0
2024-03-14,MSFT,NASDAQ,Technology,Software—Infrastructure,USD,425.60,427.30,424.80,426.80,426.80,425.40,37940000,161838,3190000000000,7470000000,38.2,11.17,0.68,0.0160,2024-05-15,1.0,430.10,279.80,400.80,360.40,4.40,0.228,1.02,0.0033,0.0130,0.0458,0.0010,Thursday,3,1,0,0
2024-03-15,MSFT,NASDAQ,Technology,Software—Infrastructure,USD,426.50,428.10,425.20,427.90,427.90,426.80,45210000,193368,3200000000000,7470000000,38.3,11.17,0.68,0.0159,2024-05-15,1.0,430.10,279.80,401.30,360.80,4.35,0.229,1.01,0.0026,0.0117,0.0422,0.0009,Friday,3,1,1,1
2024-03-18,MSFT,NASDAQ,Technology,Software—Infrastructure,USD,428.20,430.50,427.10,429.80,429.80,427.90,37280000,160143,3215000000000,7470000000,38.5,11.16,0.68,0.0159,2024-05-15,1.0,430.10,279.80,402.00,361.20,4.50,0.230,1.01,0.0044,0.0121,0.0448,0.0010,Monday,3,1,0,0
2024-03-19,MSFT,NASDAQ,Technology,Software—Infrastructure,USD,430.00,432.20,429.30,431.60,431.60,429.80,38160000,164723,3233000000000,7470000000,38.7,11.16,0.68,0.0158,2024-05-15,1.0,430.10,279.80,402.60,361.60,4.40,0.231,1.01,0.0042,0.0131,0.0453,0.0009,Tuesday,3,1,0,0
2024-03-20,MSFT,NASDAQ,Technology,Software—Infrastructure,USD,431.90,433.40,430.80,432.50,432.50,431.60,39650000,171377,3241000000000,7470000000,38.8,11.15,0.68,0.0158,2024-05-15,1.0,430.10,279.80,403.10,362.00,4.30,0.230,1.01,0.0021,0.0111,0.0410,0.0007,Wednesday,3,1,0,0
2024-03-21,MSFT,NASDAQ,Technology,Software—Infrastructure,USD,432.40,434.10,431.60,433.90,433.90,432.50,40420000,175438,3253000000000,7470000000,38.9,11.15,0.68,0.0157,2024-05-15,1.0,430.10,279.80,403.70,362.40,4.20,0.229,1.00,0.0032,0.0105,0.0392,0.0009,Thursday,3,1,0,0
2024-03-22,MSFT,NASDAQ,Technology,Software—Infrastructure,USD,434.10,435.90,433.00,435.20,435.20,433.90,41730000,181707,3265000000000,7470000000,39.1,11.13,0.68,0.0157,2024-05-15,1.0,430.10,279.80,404.20,362.80,4.30,0.230,1.00,0.0030,0.0106,0.0403,0.0009,Friday,3,1,0,0
